Week Of,Mon,Teu,Wend,Thu,Fri
2024 Jan- 1 to Jan- 5,,70.62,72.97,72.38,74
  2024 Jan- 8 to Jan-12,71.06,72.43,71.57,72.15,72.94
,,,,,
  2024 Jan-15 to Jan-19,,72.63,72.79,74.32,73.69
  2024 Jan-22 to Jan-26,75.26,74.72,75.48,77.91,78.45
  2024 Jan-29 to Feb- 2,77.25,78.3,76.28,74.36,72.72
  2024 Feb- 5 to Feb- 9,73.21,73.83,74.26,76.67,77.26
  2024 Feb-12 to Feb-16,77.34,78.28,77.09,78.47,79.65
,,,,,
  2024 Feb-19 to Feb-23,,78.72,78.89,79.64,77.6
  2024 Feb-26 to Mar- 1,78.53,79.8,79.44,79.22,80.9
  2024 Mar- 4 to Mar- 8,79.67,79.11,80.08,79.81,78.96
  2024 Mar-11 to Mar-15,78.87,78.51,80.67,82.16,81.94
  2024 Mar-18 to Mar-22,83.68,84.39,82.79,81.99,81.1
,,,,,
  2024 Mar-25 to Mar-29,82.41,82.41,82.15,83.96,
  2024 Apr- 1 to Apr- 5,84.54,85.95,86.22,87.37,87.69
  2024 Apr- 8 to Apr-12,87.24,86.04,86.98,85.79,86.46
  2024 Apr-15 to Apr-19,86.21,86.15,83.58,83.5,83.79
  2024 Apr-22 to Apr-26,83.82,84.17,84.09,84.92,85.38
,,,,,
  2024 Apr-29 to May- 3,84.26,83.49,80.7,80.59,79.65
  2024 May- 6 to May-10,80.1,79.97,80.57,80.86,79.81
  2024 May-13 to May-17,80.71,79.62,80.23,80.85,81.66
  2024 May-20 to May-24,81.39,80.66,79.15,77.47,78.48
  2024 May-27 to May-31,,80.9,80.24,78.96,77.97
,,,,,
  2024 Jun- 3 to Jun- 7,75.26,74.27,75.08,76.52,76.53
  2024 Jun-10 to Jun-14,78.75,78.88,79.56,79.61,79.41
  2024 Jun-17 to Jun-21,81.33,82.67,,83.34,81.71
  2024 Jun-24 to Jun-28,82.63,81.97,82.19,83.04,82.83
  2024 Jul- 1 to Jul- 5,84.7,84.09,85.19,,84.44
,,,,,
  2024 Jul- 8 to Jul-12,83.63,82.78,83.39,83.92,83.49
  2024 Jul-15 to Jul-19,83.22,81.92,84.16,84.17,81.43
  2024 Jul-22 to Jul-26,81.25,78.24,78.78,79.43,78.58
  2024 Jul-29 to Aug- 2,77.27,76.17,79.36,77.74,74.99
  2024 Aug- 5 to Aug- 9,74.46,74.6,76.68,77.64,78.28
,,,,,
  2024 Aug-12 to Aug-16,81.45,79.81,78.47,79.66,78.05
  2024 Aug-19 to Aug-23,75.82,75.27,72.76,73.72,75.82
  2024 Aug-26 to Aug-30,78.4,76.5,75.49,76.9,74.52
  2024 Sep- 2 to Sep- 6,,71.28,70.11,70.09,68.58
  2024 Sep- 9 to Sep-13,69.65,66.73,68.25,69.89,69.59
,,,,,
  2024 Sep-16 to Sep-20,71.1,72.16,71.87,72.86,72.72
  2024 Sep-23 to Sep-27,71.33,72.34,70.42,68.28,68.72
  2024 Sep-30 to Oct- 4,68.75,70.41,70.74,74.33,74.93
  2024 Oct- 7 to Oct-11,77.76,74.26,73.85,76.46,76.11
  2024 Oct-14 to Oct-18,,71.22,70.97,71.26,69.78
,,,,,
  2024 Oct-21 to Oct-25,71.16,72.84,71.37,70.58,72.02
  2024 Oct-28 to Nov- 1,67.65,67.48,68.91,69.58,69.81
  2024 Nov- 4 to Nov- 8,71.83,72.26,71.98,72.69,70.69
  2024 Nov-11 to Nov-15,,68.43,68.76,68.99,67.33
  2024 Nov-18 to Nov-22,69.46,69.75,69.25,70.39,71.68
,,,,,
  2024 Nov-25 to Nov-29,69.41,69.05,69.03,,68.26
  2024 Dec- 2 to Dec- 6,68.35,70.15,68.81,68.58,68.58
  2024 Dec- 9 to Dec-13,68.65,68.85,70.57,70.25,71.54
  2024 Dec-16 to Dec-20,71.03,70.31,70.8,70.1,69.71
  2024 Dec-23 to Dec-27,69.5,70.87,,70.38,71.28
,,,,,
  2024 Dec-30 to Jan- 3,71.73,72.44,,73.79,74.64
